year,month,dest,lat,lon,count
2020,3,KJFK,40.639801,-73.778900,4742
2021,1,KMSP,44.882000,-93.221802,4718
2021,1,KCLT,35.214001,-80.943100,4718
2019,6,KJFK,40.639801,-73.778900,4717
2019,10,KFLL,26.072599,-80.152702,4699
2019,9,KMDW,41.785999,-87.752403,4689
2020,9,KCLT,35.214001,-80.943100,4688
2019,7,KLGA,40.777199,-73.872597,4668
2019,8,KDTW,42.212399,-83.353401,4664
2019,11,KSEA,47.449001,-122.308998,4664
2020,12,KSFO,37.618999,-122.375000,4660
2020,12,KCLT,35.214001,-80.943100,4658
2019,12,KBNA,36.124500,-86.678200,4657
2020,1,KDCA,38.852100,-77.037697,4654
2021,3,KSFO,37.618999,-122.375000,4649
2020,10,KSFO,37.618999,-122.375000,4644
2019,11,KMDW,41.785999,-87.752403,4636
2020,12,KFLL,26.072599,-80.152702,4607
2020,6,KLAS,36.080101,-115.152000,4603
2020,8,KMDW,41.785999,-87.752403,4601
2019,9,KPHL,39.871899,-75.241096,4597
2020,11,KCLT,35.214001,-80.943100,4595
2020,11,KSFO,37.618999,-122.375000,4591
2019,3,KJFK,40.639801,-73.778900,4580
2020,2,KPHL,39.871899,-75.241096,4579
2019,10,KDAL,32.847099,-96.851799,4575
2020,3,KMSP,44.882000,-93.221802,4572
2020,1,KMDW,41.785999,-87.752403,4555
2019,12,KDAL,32.847099,-96.851799,4553
2020,1,KDAL,32.847099,-96.851799,4553
2019,8,KDEN,39.861698,-104.672997,4551
2019,10,KDCA,38.852100,-77.037697,4549
2020,2,KDCA,38.852100,-77.037697,4545
2019,4,KLAX,33.942501,-118.407997,4528
2019,6,KSEA,47.449001,-122.308998,4526
2019,4,KJFK,40.639801,-73.778900,4526
2020,1,KBNA,36.124500,-86.678200,4522
2020,8,KBWI,39.175400,-76.668297,4522
2019,2,KJFK,40.639801,-73.778900,4507
2019,12,KDCA,38.852100,-77.037697,4502
2019,9,KBNA,36.124500,-86.678200,4492
2019,11,KMIA,25.793200,-80.290604,4490
2019,7,KBWI,39.175400,-76.668297,4486
2020,7,KSFO,37.618999,-122.375000,4480
2021,2,KMSP,44.882000,-93.221802,4479
2020,2,KSEA,47.449001,-122.308998,4471
2019,2,KLAX,33.942501,-118.407997,4469
2019,2,KMSP,44.882000,-93.221802,4464
2020,8,KSFO,37.618999,-122.375000,4453
2020,2,KDAL,32.847099,-96.851799,4447
2021,1,KFLL,26.072599,-80.152702,4428
2020,2,KBNA,36.124500,-86.678200,4416
2019,6,KLGA,40.777199,-73.872597,4413
2020,6,KPHX,33.435302,-112.005905,4410
2019,11,KDAL,32.847099,-96.851799,4407
2019,10,KMIA,25.793200,-80.290604,4404
2021,3,KDTW,42.212399,-83.353401,4399
2020,5,KDFW,32.896801,-97.038002,4390
2020,5,KATL,33.636700,-84.428101,4369
2019,11,KDCA,38.852100,-77.037697,4366
2019,3,KSAN,32.733601,-117.190002,4356
2020,2,KMDW,41.785999,-87.752403,4354
2021,2,KFLL,26.072599,-80.152702,4351
2020,12,KDTW,42.212399,-83.353401,4350
2019,1,KSAN,32.733601,-117.190002,4343
2020,7,KMDW,41.785999,-87.752403,4342
2020,1,KSEA,47.449001,-122.308998,4337
2019,3,KMSP,44.882000,-93.221802,4328
2019,1,KMSP,44.882000,-93.221802,4325
2020,3,KMIA,25.793200,-80.290604,4324
2019,5,KSEA,47.449001,-122.308998,4311
2019,10,KTPA,27.975500,-82.533203,4303
2020,7,KCLT,35.214001,-80.943100,4284
2020,7,KDEN,39.861698,-104.672997,4276
2021,2,KCLT,35.214001,-80.943100,4265
