ident,type,name,lat,lon,country,region,city
KSUS,large_airport,Spirit of St Louis Airport,38.662102,-90.652000,US,US-MO,St Louis
KSUX,large_airport,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237,US,US-IA,Sioux City
KSYR,large_airport,Syracuse Hancock International Airport,43.111198,-76.106300,US,US-NY,Syracuse
KTLH,large_airport,Tallahassee Regional Airport,30.396500,-84.350304,US,US-FL,Tallahassee
KTOL,large_airport,Toledo Express Airport,41.586800,-83.807800,US,US-OH,Toledo
KTPA,large_airport,Tampa International Airport,27.975500,-82.533203,US,US-FL,Tampa
KTRI,large_airport,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,US,US-TN,Bristol/Johnson/Kingsport
KTUL,large_airport,Tulsa International Airport,36.198399,-95.888100,US,US-OK,Tulsa
KTUS,large_airport,Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,US,US-AZ,Tucson
KTYS,large_airport,McGhee Tyson Airport,35.811001,-83.994003,US,US-TN,Knoxville
KVPS,large_airport,Destin-Ft Walton Beach Airport,30.483200,-86.525398,US,US-FL,Valparaiso
LHS,large_airport,Lake Havasu City International Airport,34.438260,-114.222531,US,US-AZ,Lake Havasu City
PAFA,large_airport,Fairbanks International Airport,64.815102,-147.856003,US,US-AK,Fairbanks
PANC,large_airport,Ted Stevens Anchorage International Airport,61.174400,-149.996002,US,US-AK,Anchorage
PHNL,large_airport,Daniel K Inouye International Airport,21.320620,-157.924228,US,US-HI,Honolulu
