year,month,week,airline,count
2020,5,22,AAY,200
2020,5,22,SWA,6075
2020,5,22,NKS,150
2020,5,22,JBU,332
2020,5,22,AAL,3678
2020,6,23,SKW,1782
2020,6,23,JBU,615
2020,6,23,FFT,331
2020,6,23,AAY,328
2020,6,23,DAL,2762
2020,6,23,SWA,6546
2020,6,23,SCX,114
2020,6,23,AAL,4280
2020,6,23,NKS,211
2020,6,23,UAL,975
2020,6,24,NKS,487
2020,6,24,JBU,718
2020,6,24,SKW,1832
2020,6,24,SWA,8615
2020,6,24,SCX,126
2020,6,24,FFT,408
2020,6,24,DAL,2930
2020,6,24,AAY,343
2020,6,24,UAL,969
2020,6,24,AAL,4948
2020,6,25,JBU,776
2020,6,25,SWA,9532
2020,6,25,AAL,4915
2020,6,25,NKS,636
2020,6,25,DAL,2969
2020,6,25,FFT,508
2020,6,25,SCX,161
2020,6,25,AAY,357
2020,6,25,UAL,1025
2020,6,25,SKW,1921
2020,6,26,AAY,348
2020,6,26,JBU,782
2020,6,26,SCX,204
2020,6,26,DAL,3198
2020,6,26,SWA,10621
2020,6,26,AAL,4964
2020,6,26,UAL,982
2020,6,26,NKS,814
2020,6,26,FFT,623
2020,6,26,SKW,1989
2020,6,27,SCX,60
2020,6,27,NKS,231
2020,6,27,FFT,202
2020,6,27,SWA,3243
2020,6,27,AAL,1425
2020,6,27,DAL,963
2020,6,27,UAL,299
2020,6,27,AAY,99
2020,6,27,SKW,595
2020,6,27,JBU,235
2020,7,27,DAL,3290
2020,7,27,UAL,814
2020,7,27,SCX,218
2020,7,27,AAL,3606
2020,7,27,SKW,1662
2020,7,27,AAY,300
2020,7,27,NKS,1239
2020,7,27,SWA,7553
2020,7,27,FFT,498
2020,7,27,JBU,893
2020,7,28,AAL,7603
2020,7,28,DAL,4890
2020,7,28,JBU,1350
2020,7,28,SCX,293
2020,7,28,FFT,868
2020,7,28,SKW,2845
2020,7,28,AAY,399
2020,7,28,SWA,11277
2020,7,28,NKS,1878
2020,7,28,UAL,2126
2020,7,29,AAL,8306
2020,7,29,JBU,1292
2020,7,29,SCX,273
2020,7,29,UAL,2133
2020,7,29,SKW,2925
2020,7,29,NKS,1815
2020,7,29,SWA,11529
2020,7,29,FFT,785
2020,7,29,DAL,4988
2020,7,29,AAY,370
2020,7,30,FFT,879
2020,7,30,UAL,2239
2020,7,30,AAY,333
2020,7,30,SCX,225
2020,7,30,JBU,1346
2020,7,30,DAL,5041
2020,7,30,NKS,1910
2020,7,30,SKW,2724
2020,7,30,SWA,11565
2020,7,30,AAL,8275
2020,7,31,UAL,1620
2020,7,31,SCX,114
2020,7,31,AAL,5260
2020,7,31,SWA,7934
2020,7,31,FFT,537
2020,7,31,AAY,225
2020,7,31,JBU,882
2020,7,31,DAL,3232
2020,7,31,SKW,1877
2020,7,31,NKS,1326
2020,8,31,UAL,786
2020,8,31,SCX,64
2020,8,31,FFT,268
2020,8,31,SWA,3269
2020,8,31,SKW,932
2020,8,31,JBU,403
2020,8,31,AAL,2335
2020,8,31,DAL,1803
2020,8,31,AAY,124
2020,8,31,NKS,614
2020,8,32,SWA,11739
2020,8,32,SCX,198
2020,8,32,NKS,1694
2020,8,32,DAL,6308
2020,8,32,UAL,3542
2020,8,32,SKW,3554
2020,8,32,AAY,368
2020,8,32,AAL,6274
2020,8,32,FFT,781
2020,8,32,JBU,1256
2020,8,33,SKW,3265
2020,8,33,AAL,6070
2020,8,33,NKS,1322
2020,8,33,FFT,831
2020,8,33,DAL,6028
2020,8,33,SCX,231
2020,8,33,JBU,984
2020,8,33,AAY,358
2020,8,33,UAL,3008
2020,8,33,SWA,12080
2020,8,34,SCX,219
2020,8,34,NKS,1352
2020,8,34,SKW,3334
2020,8,34,UAL,2922
2020,8,34,AAL,6698
2020,8,34,JBU,1003
2020,8,34,FFT,818
2020,8,34,SWA,12319
2020,8,34,AAY,249
2020,8,34,DAL,6009
2020,8,35,FFT,818
2020,8,35,JBU,989
2020,8,35,SWA,12355
